trial,RLCT,beta,c,n,chain_size
1,0.0232548793719998,0.0434294481903252,0.1,10,1000
2,0.024205280338518,0.0434294481903252,0.1,10,1000
3,0.0175480795940934,0.0434294481903252,0.1,10,1000
4,0.0160404417927154,0.0434294481903252,0.1,10,1000
5,0.016913164120714,0.0434294481903252,0.1,10,1000
6,0.0305973675776663,0.0434294481903252,0.1,10,1000
7,0.0242548913543748,0.0434294481903252,0.1,10,1000
8,0.0242115773655038,0.0434294481903252,0.1,10,1000
9,0.018006990053154,0.0434294481903252,0.1,10,1000
10,0.0185192059695624,0.0434294481903252,0.1,10,1000
11,0.0249810885822677,0.0434294481903252,0.1,10,1000
12,0.0179562973304172,0.0434294481903252,0.1,10,1000
13,0.0195530262006296,0.0434294481903252,0.1,10,1000
14,0.0190555299951111,0.0434294481903252,0.1,10,1000
15,0.0234515488774144,0.0434294481903252,0.1,10,1000
16,0.0150564983214417,0.0434294481903252,0.1,10,1000
17,0.022972822412331,0.0434294481903252,0.1,10,1000
18,0.0170889831173745,0.0434294481903252,0.1,10,1000
19,0.0224060410192617,0.0434294481903252,0.1,10,1000
20,0.0186843676588797,0.0434294481903252,0.1,10,1000
21,0.0232794885042501,0.0434294481903252,0.1,10,1000
22,0.0167289730577136,0.0434294481903252,0.1,10,1000
23,0.0222651996360247,0.0434294481903252,0.1,10,1000
24,0.0181076270387136,0.0434294481903252,0.1,10,1000
25,0.0198764902378405,0.0434294481903252,0.1,10,1000
26,0.0213448608964805,0.0434294481903252,0.1,10,1000
27,0.0245481911173716,0.0434294481903252,0.1,10,1000
28,0.0216888101718361,0.0434294481903252,0.1,10,1000
29,0.015259722989607,0.0434294481903252,0.1,10,1000
30,0.0201401463400479,0.0434294481903252,0.1,10,1000
31,0.0199554019593898,0.0434294481903252,0.1,10,1000
32,0.019117889061266,0.0434294481903252,0.1,10,1000
33,0.0267510908982679,0.0434294481903252,0.1,10,1000
34,0.023934831937703,0.0434294481903252,0.1,10,1000
35,0.0236806085325042,0.0434294481903252,0.1,10,1000
36,0.0225056118893262,0.0434294481903252,0.1,10,1000
37,0.0146053354479208,0.0434294481903252,0.1,10,1000
38,0.0188383094287738,0.0434294481903252,0.1,10,1000
39,0.0217250179583353,0.0434294481903252,0.1,10,1000
40,0.0175649435865151,0.0434294481903252,0.1,10,1000
41,0.0198225934363075,0.0434294481903252,0.1,10,1000
42,0.019099617649936,0.0434294481903252,0.1,10,1000
